Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Spain,ESP,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.4968648783202,77.7738937890987,78.0421438998777,78.2919921861701,78.5138156234888,78.695397956495,78.8455680301618,78.9858086902112,79.1196713833488,79.2454892743023,79.3615955277997,79.4663233085683,79.5580057813361,79.6349761108307,79.6955674617799,79.7846242983598,79.9548794567814,80.128491001856,80.315199821207,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,28421.686527407,32652.015594702,35603.248328071,32279.8208476151,30658.7422282912,31824.6219134777,28456.4438151477,29228.846559842,29707.765509467,25982.4416197775,26755.6061149398,28381.3425596906,30602.4212881113,29786.5245689007,27233.9426461608,30799.4775937775,30319.4987196616,33493.2225409111,35326.7683069278,..
Spain,ESP,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,19.7,19.8,20.4,20.7,20.6,20.8,20.4,22.2,22.1,22.3,21.6,21.5,20.7,21,21.7,20.4,20.2,..,..,..
Spain,ESP,Gini index,SI.POV.GINI,33.5,34.1,34.2,34.9,35.2,35.7,35.4,36.2,36.1,36.2,35.8,34.7,34.7,34.3,34.9,33.9,33.6,33.4,..,..
Thailand,THA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,10.8971878123502,11.3716409964391,10.8035322703093,10.8870780457205,10.4716200883593,11.7606957917228,12.6068389436271,14.7966720803756,13.8025822759808,16.5229814613897,17.4769422746326,18.7285709345966,18.6811954534957,19.8750562571006,5.97420015392131,..,..,..,..,..
Thailand,THA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.4424037014582,40.7036878697821,41.8954507430475,42.9991311200422,44.0018736622496,44.8048723557374,45.373565813715,45.8321343847773,46.3138799467897,46.9521043776171,47.8801095551247,49.2311973571777,54.5843734741211,55.9266166687012,57.2358779907227,58.5087776184082,59.742374420166,60.9341926574707,61.8689338391321,..
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,3331.32043511773,3918.52817434581,4309.13509292986,4135.43986952819,4973.86288823778,5373.6232832898,5725.52802835463,6018.08244729255,5801.1978916205,5688.85335397884,5833.57715617098,6413.09182530343,7099.77650081458,7605.69657797759,6985.64393892574,7057.20754802279,6909.35281815827,7195.10130919449,7346.62022142185,..
Thailand,THA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,21.9,20,20.4,17.9,16.4,13.2,12.6,10.9,10.5,7.2,8.6,7.9,9.9,6.2,6.8,6.3,5.4,..,..,..
Thailand,THA,Gini index,SI.POV.GINI,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37,36,36.7,36.4,36.4,34.9,35,34.9,34.3,33.5,33.3,..
Morocco,MAR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,35.5394189542669,34.685474976622,29.0797222179883,33.2516448934438,30.230582298692,28.5792243041453,26.2565292141768,25.1453315874737,25.045934365953,23.3236963151609,23.0328509444214,23.3956903946414,22.0098212261765,22.5867332268595,12.0227919278399,..,..,..,..,..
Morocco,MAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.9627589629824,56.5303841299064,57.1254169272616,57.7306189138977,58.3287516486646,58.902576690412,59.4348555979895,59.9083499302469,60.3030486171654,60.6417124737154,60.9657656537179,61.2761057031842,61.5695822753314,61.8430450233765,62.0933436005366,62.3173276600289,62.5118468550703,62.673750838878,62.7998124018197,..
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,2438.12646484375,2755.5859375,3183.20043945313,3119.58862304688,3067.9853515625,3301.98876953125,3164.17724609375,3379.7431640625,3435.40698242188,3146.24780273438,3140.85546875,3296.52661132813,3501.69799804688,3508.09765625,3268.0302734375,3785.93627929688,3463.1376953125,3813.72607421875,4153.1943359375,..
